query,table_size,iteration,execution_time_ms,num_results
in the house tonight,1000,1,144.85015999889583,8
in the house tonight,1000,2,135.75558999946225,8
in the house tonight,1000,3,135.6821459994535,8
in the house tonight,2000,1,298.1559939980798,8
in the house tonight,2000,2,267.55056399997557,8
in the house tonight,2000,3,304.22951899890904,8
in the house tonight,4000,1,425.3982830014138,8
in the house tonight,4000,2,436.59653600116144,8
in the house tonight,4000,3,434.15087000175845,8
in the house tonight,8000,1,735.0597469994682,8
in the house tonight,8000,2,797.1002759986732,8
in the house tonight,8000,3,689.7869770000398,8
in the house tonight,16000,1,1173.354427999584,8
in the house tonight,16000,2,1260.7907700003125,8
in the house tonight,16000,3,1373.8265439969837,8
in the house tonight,32000,1,2897.59361400138,8
in the house tonight,32000,2,2623.563458000717,8
in the house tonight,32000,3,2629.041647000122,8
in the house tonight,64000,1,5865.27856000248,8
in the house tonight,64000,2,6122.583382999437,8
in the house tonight,64000,3,5979.6393789983995,8
love,1000,1,172.88612900301814,8
love,1000,2,115.21036100020865,8
love,1000,3,270.6755819999671,8
love,2000,1,210.21840600224095,8
love,2000,2,154.91980500155478,8
love,2000,3,149.74391400028253,8
love,4000,1,352.90180900119594,8
love,4000,2,270.72497400149587,8
love,4000,3,297.83316099928925,8
love,8000,1,665.1115390013729,8
love,8000,2,551.029397000093,8
love,8000,3,530.4381129972171,8
love,16000,1,1194.6296900023299,8
love,16000,2,1196.494776999316,8
love,16000,3,1094.3011560011655,8
love,32000,1,2391.712976997951,8
love,32000,2,2384.1699339973275,8
love,32000,3,2837.7967499982333,8
love,64000,1,5791.780700001254,8
love,64000,2,5965.171202999045,8
love,64000,3,5788.933186999202,8
